terminal_id,tanggal,jumlah_kontainer,NON MITA,MITA,HIJAU,MERAH,KUNING,NON,BORDER,POST-BORDER,BORDER_POST-BORDER,lartas N,lartas Y,lartas NA,KARANTINA TUMBUHAN,KARANTINA HEWAN,KARANTINA IKAN,PRENO,NON_PRENO,avg_dt
JICT,2018-05-12,2012,1513,499,1798,140,74,663,467,843,39,1447,565,1872,80,29,31,1070,942,3.55
JICT,2018-05-13,1261,1180,81,969,230,62,502,137,553,69,1005,256,1111,124,17,9,257,1004,4.68
JICT,2018-05-14,1158,570,588,1080,53,25,333,493,275,57,562,596,990,87,77,4,431,727,3.47
JICT,2018-05-15,1469,1123,346,1337,90,42,535,201,685,48,1157,312,1420,4,36,9,680,789,2.58
JICT,2018-05-16,2241,1337,903,2036,159,46,651,1000,505,85,1103,1138,2046,144,46,5,1145,1096,3.06
JICT,2018-05-17,1678,1171,507,1509,113,56,581,613,396,88,929,749,1507,123,48,0,784,894,3.57
JICT,2018-05-18,1786,1520,266,1518,178,90,744,323,686,33,1395,391,1686,50,27,23,1004,782,3.49
JICT,2018-05-19,1784,1458,326,1647,87,50,569,365,807,43,1344,440,1673,67,41,3,930,854,3.35
JICT,2018-05-20,802,512,289,755,23,24,218,341,215,28,406,396,642,120,32,8,198,604,3.53
JICT,2018-05-21,858,694,164,720,70,68,397,90,341,30,674,184,822,31,5,0,308,550,3.19
JICT,2018-05-22,1760,1306,454,1559,126,75,737,269,745,9,1444,316,1724,27,7,2,690,1070,3.38
JICT,2018-05-23,535,347,188,496,27,12,223,160,134,18,349,186,484,40,8,3,327,208,2.48
JICT,2018-05-24,2437,1754,683,2206,144,87,842,1075,486,34,1255,1182,2113,272,37,15,1196,1241,4.12
JICT,2018-05-25,1627,1258,369,1333,220,74,648,359,550,70,1154,473,1466,135,26,0,1013,614,4.25
JICT,2018-05-26,1957,1770,187,1580,291,86,793,533,611,20,1375,582,1741,197,10,9,906,1051,5.51
JICT,2018-05-27,608,467,141,519,58,31,188,179,209,32,385,223,481,82,45,0,159,449,10.47
JICT,2018-05-28,913,702,211,751,82,80,435,149,281,48,691,222,821,82,9,1,244,669,5.42
JICT,2018-05-29,866,724,142,698,134,34,395,80,324,67,709,157,854,8,4,0,452,414,4.28
